2025-09-13 06:53:43 | INFO     | app.core.logging:setup_logging:48 | Sistema de logging configurado
2025-09-13 06:53:43 | INFO     | app.core.logging:setup_logging:48 | Sistema de logging configurado
2025-09-13 06:53:43 | INFO     | __main__:main:23 | ============================================================
2025-09-13 06:53:43 | INFO     | __main__:main:24 | 🤖 INFRAWATCH AI AGENT
2025-09-13 06:53:43 | INFO     | __main__:main:25 | ============================================================
2025-09-13 06:53:43 | INFO     | __main__:main:26 | 🔧 Host: 0.0.0.0
2025-09-13 06:53:43 | INFO     | __main__:main:27 | 🌐 Port: 8001
2025-09-13 06:53:43 | INFO     | __main__:main:28 | 🐛 Debug: True
2025-09-13 06:53:43 | INFO     | __main__:main:29 | 🧠 Gemini Model: gemini-2.0-flash
2025-09-13 06:53:43 | INFO     | __main__:main:30 | 📊 Vector DB: ./chroma_db
2025-09-13 06:53:43 | INFO     | __main__:main:31 | 🔗 InfraWatch API: https://infrawatch-backend-production-f5e3.up.railway.app
2025-09-13 06:53:43 | INFO     | __main__:main:32 | ============================================================
2025-09-13 06:53:43 | INFO     | __main__:main:44 | 🚀 Iniciando servidor...
2025-09-13 06:53:43 | INFO     | app.core.logging:setup_logging:48 | Sistema de logging configurado
2025-09-13 06:53:43 | INFO     | app.main:lifespan:30 | 🚀 Iniciando InfraWatch AI Agent...
2025-09-13 06:53:43 | INFO     | app.main:lifespan:35 | 🔐 Inicializando autenticação com InfraWatch Backend...
2025-09-13 06:53:43 | INFO     | app.services.auth_service:initialize:26 | Iniciando autenticação com InfraWatch Backend...
2025-09-13 06:53:44 | INFO     | app.services.infrawatch_client:login:56 | Login realizado com sucesso no InfraWatch
2025-09-13 06:53:44 | INFO     | app.services.auth_service:initialize:30 | Autenticação realizada com sucesso!
2025-09-13 06:53:44 | INFO     | app.main:lifespan:39 | ✅ Autenticação inicializada com sucesso
2025-09-13 06:53:44 | INFO     | app.main:lifespan:43 | ✅ AI Agent inicializado com sucesso
2025-09-13 06:53:47 | INFO     | app.api.predictive:get_predictive_alerts:153 | Buscando alertas preditivos com threshold 80.0%
2025-09-13 06:53:47 | INFO     | app.api.insights:get_automatic_insights:30 | Gerando insights automáticos...
2025-09-13 06:53:47 | ERROR    | app.services.infrawatch_client:_make_request:167 | Erro HTTP na requisição para https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview: Client error '404 Not Found' for url 'https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404
2025-09-13 06:53:47 | ERROR    | app.services.infrawatch_client:get_infrastructure_overview:380 | Erro ao buscar overview otimizado: Erro na comunicação com InfraWatch API: Client error '404 Not Found' for url 'https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404
2025-09-13 06:53:47 | INFO     | app.services.infrawatch_client:get_infrastructure_overview:381 | Tentando método de fallback...
2025-09-13 06:53:47 | ERROR    | app.services.infrawatch_client:_make_request:167 | Erro HTTP na requisição para https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview: Client error '404 Not Found' for url 'https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404
2025-09-13 06:53:47 | ERROR    | app.services.infrawatch_client:get_infrastructure_overview:380 | Erro ao buscar overview otimizado: Erro na comunicação com InfraWatch API: Client error '404 Not Found' for url 'https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404
2025-09-13 06:53:47 | INFO     | app.services.infrawatch_client:get_infrastructure_overview:381 | Tentando método de fallback...
2025-09-13 06:53:48 | INFO     | app.services.rag.rag_service:generate_automatic_insights:118 | Gerando insights automáticos...
2025-09-13 06:53:48 | INFO     | app.services.rag.rag_service:generate_automatic_insights:202 | Gerados 3 insights automáticos
2025-09-13 06:53:48 | INFO     | app.api.insights:get_automatic_insights:50 | Retornando 3 insights automáticos
2025-09-13 06:53:48 | INFO     | app.api.insights:get_automatic_insights:30 | Gerando insights automáticos...
2025-09-13 06:53:50 | ERROR    | app.services.infrawatch_client:_make_request:167 | Erro HTTP na requisição para https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview: Client error '404 Not Found' for url 'https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404
2025-09-13 06:53:50 | ERROR    | app.services.infrawatch_client:get_infrastructure_overview:380 | Erro ao buscar overview otimizado: Erro na comunicação com InfraWatch API: Client error '404 Not Found' for url 'https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404
2025-09-13 06:53:50 | INFO     | app.services.infrawatch_client:get_infrastructure_overview:381 | Tentando método de fallback...
2025-09-13 06:53:50 | INFO     | app.services.predictive_service:analyze_predictive_patterns:41 | Convertidos 14 monitors para análise preditiva
2025-09-13 06:53:50 | INFO     | app.services.predictive_service:analyze_predictive_patterns:59 | Analisados 14 endpoints
2025-09-13 06:53:50 | INFO     | app.services.predictive_service:analyze_predictive_patterns:82 | Gerados 19 alertas preditivos com threshold 80.0%
2025-09-13 06:53:50 | INFO     | app.api.predictive:get_predictive_alerts:174 | Retornando 10 alertas preditivos
2025-09-13 06:53:50 | INFO     | app.api.predictive:get_predictive_alerts:153 | Buscando alertas preditivos com threshold 80.0%
2025-09-13 06:53:51 | ERROR    | app.services.infrawatch_client:_make_request:167 | Erro HTTP na requisição para https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview: Client error '404 Not Found' for url 'https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404
2025-09-13 06:53:51 | ERROR    | app.services.infrawatch_client:get_infrastructure_overview:380 | Erro ao buscar overview otimizado: Erro na comunicação com InfraWatch API: Client error '404 Not Found' for url 'https://infrawatch-backend-production-f5e3.up.railway.app/monitor/overview'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404
2025-09-13 06:53:51 | INFO     | app.services.infrawatch_client:get_infrastructure_overview:381 | Tentando método de fallback...
2025-09-13 06:53:52 | INFO     | app.services.rag.rag_service:generate_automatic_insights:118 | Gerando insights automáticos...
2025-09-13 06:53:52 | INFO     | app.services.rag.rag_service:generate_automatic_insights:202 | Gerados 3 insights automáticos
2025-09-13 06:53:52 | INFO     | app.api.insights:get_automatic_insights:50 | Retornando 3 insights automáticos
2025-09-13 06:53:52 | INFO     | app.services.predictive_service:analyze_predictive_patterns:41 | Convertidos 14 monitors para análise preditiva
2025-09-13 06:53:52 | INFO     | app.services.predictive_service:analyze_predictive_patterns:59 | Analisados 14 endpoints
2025-09-13 06:53:52 | INFO     | app.services.predictive_service:analyze_predictive_patterns:82 | Gerados 19 alertas preditivos com threshold 80.0%
2025-09-13 06:53:52 | INFO     | app.api.predictive:get_predictive_alerts:174 | Retornando 10 alertas preditivos
